Raw Value,Normalized Value,Record Count,Category,Changed,Sample Toys
"TORSO FT","Torso FT",4,"body",YES,"JPD88"
"lip balm cover","Lip Balm Cover",4,"cover",YES,"JHK44"
"Arm-Cast","Arm Cast",4,"arm",YES,"JJN56"
"Corkboard","Corkboard",4,"corkboard",NO,"JKB64"
"Front bodice","Front Bodice",4,"front",YES,"JRY61, JRY62, JRY64"
"Bag-Strap","Bag Strap",4,"bag",YES,"JJX94"
"TAIL-FT","Tail FT",4,"tail",YES,"JKH55, JKH56"
"Top Hat Purse","Top Hat Purse",4,"top",NO,"JPD82"
"FRYING PAN","Frying Pan",4,"frying",YES,"JHH02"
"Girl  Upper Torso front","Girl Upper Torso Front",4,"body",YES,"JMB81"
"eyelash curler lt","Eyelash Curler LT",4,"eyelash",YES,"JMG74"
"henna bottle","Henna Bottle",4,"henna",YES,"JHK44"
"Extruder-Tube","Extruder Tube",4,"extruder",YES,"JLV22"
"Evil Queen  Torso Lower","Evil Queen Torso Lower",4,"body",YES,"JPL71"
"Evil Queen  Torso FT","Evil Queen Torso FT",4,"body",YES,"JPL71"
"Evil Queen  Face","Evil Queen Face",4,"face",YES,"JPL71"
"Gothel Leg","Gothel Leg",4,"leg",NO,"JJV56"
"Evil Queen  Arm LT","Evil Queen Arm LT",4,"arm",YES,"JPL71"
"Elsa TORSO FT RR","Elsa Torso FT RR",4,"body",YES,"JHH08"
"Left-Frame","Left Frame",4,"frame",YES,"JTP16"
"cuff bracelet","Cuff Bracelet",4,"accessory",YES,"JHK32"
"Left-Foot-Lt-half","Left Foot LT Half",4,"foot",YES,"JLW52"
"hair","Hair",4,"hair",YES,"JJN66"
"hair band","Hair Band",4,"hair",YES,"JPR42, JPR43, JPR44"
"elbow connector","Elbow Connector",4,"connector",YES,"JLT59"
"Hand LT","Hand LT",4,"hand",NO,"JPD81, JPD82"
"Wrist-connector","Wrist Connector",4,"connector",YES,"JGP21, JMP53"
"Doll-Stand-Base-Top","Doll Stand Base Top",4,"base",YES,"HYM38, JBJ37"
"TOP SKIRT","Top Skirt",4,"clothing",YES,"JHG93"
"Ballet-arm-Right","Ballet Arm Right",4,"arm",YES,"JLW51, JLW52"
"Kelly Leg Rt","Kelly Leg RT",4,"leg",YES,"JJV61, JKH57"
"Wheel tire fr-rr","Wheel Tire Fr RR",4,"wheel",YES,"JJP88"
"Seat-base","Seat Base",4,"base",YES,"JHL60"
"Brittle-Starfish","Brittle Starfish",4,"brittle",YES,"JMV26"
"upper-arm-Rt-front","Upper Arm RT Front",4,"arm",YES,"JGP25"
"brooch","Brooch",4,"brooch",YES,"JLT56"
"Aurora-Bodice-Ft/Rr","Aurora Bodice Ft/rr",4,"aurora",YES,"JHL52"
"Scepter-top-housing-Ft","Scepter Top Housing FT",4,"scepter",YES,"JHL49"
"Bracelet-Rt","Bracelet RT",4,"accessory",YES,"JBH89, JLP17"
"Upper-Arm-Rt-outer","Upper Arm RT Outer",4,"arm",YES,"HYM38"
"Aurora-Torso-Ft/Rr","Aurora Torso Ft/rr",4,"body",YES,"JHL52"
"bracelet 1#","Bracelet 1#",4,"accessory",YES,"JDR48, JHK30"
"Shoe-Lt","Shoe LT",4,"footwear",YES,"JNG38, JPR82"
"Earring-Stud","Earring Stud",4,"accessory",YES,"JPV60"
"BUCKLE FLATS-R","Buckle Flats R",4,"buckle",YES,"JJX39"
"Upper-Leg-Lt-Ft","Upper Leg LT FT",4,"leg",YES,"JLP17"
"Scepter Door Lt","Scepter Door LT",4,"scepter",YES,"JHL49"
"Katrina Torso Lower Ft.","Katrina Torso Lower FT",4,"body",YES,"JHK34"
"shoe-Rt","Shoe RT",4,"footwear",YES,"JPL54"
"Box door LT","Box Door LT",4,"packaging",YES,"JPJ76"
"Katrina Arm Lower Rt ","Katrina Arm Lower RT",4,"arm",YES,"JHK34"
"salad bowl","Salad Bowl",4,"salad",YES,"JHK32"
"Umbrella","Umbrella",4,"umbrella",NO,"JLX39"
"Shoes-Inset-Rt","Shoes Inset RT",4,"shoes",YES,"HYM38, JLH31"
"Ruffle Clip for shoes","Ruffle Clip For Shoes",4,"clip",YES,"JTK70"
"Wheel fr-rr","Wheel Fr RR",4,"wheel",YES,"JJP88"
"Roof Lt/Rt","Roof Lt/rt",4,"roof",YES,"JJP91"
"Hair-Coin","Hair Coin",4,"hair",YES,"JJX47"
"Cage-body-upper-Lt","Cage Body Upper LT",4,"body",YES,"JMV26"
"Cage-body-upper-Rt","Cage Body Upper RT",4,"body",YES,"JMV26"
"hair cream ","Hair Cream",4,"hair",YES,"JHK45"
"JJB33-004-Arm-connector","Arm Connector",4,"arm",YES,"JJB33"
"Trunk-lid","Trunk Lid",4,"cover",YES,"JML08"
"Arms-Connector","Arms Connector",4,"connector",YES,"JJX29, JLP17"
"tiara","Tiara",4,"accessory",YES,"JBJ36, JNK62"
"BOW HARNESS","Bow Harness",4,"bow",YES,"JRF23"
"Roller-Lt-with-hole","Roller LT With Hole",4,"roller",YES,"JGG38"
"Bow Harness","Bow Harness",4,"bow",NO,"JDR54"
"BOW EARRINGS LT","Bow Earrings LT",4,"bow",YES,"JRF23"
"backpact body w/belt","Backpact Body W/belt",4,"body",YES,"JMB82"
"YETI  heater","Yeti Heater",3,"yeti",YES,"JHK44"
"2F floor","2f Floor",3,"2f",YES,"JNK62"
"accessories 1#","Accessories 1#",3,"accessories",YES,"JHK44"
"airpods lt","Airpods LT",3,"airpods",YES,"JHK46"
"Anklets","Anklets",3,"anklets",NO,"JLP16"
"Arches Lt","Arches LT",3,"arches",YES,"JLJ09"
"Archway","Archway",3,"archway",NO,"JTW98"
"Arm-Connector","Arm Connector",3,"arm",YES,"JLW51, JLW52"
"arm  cuff","Arm Cuff",3,"arm",YES,"JDR48"
"Arm Lower-Rt","Arm Lower RT",3,"arm",YES,"JMP46"
"Arm-Rt.","Arm RT",3,"arm",YES,"JJY14"
"Arm-Rt-Bent","Arm RT Bent",3,"arm",YES,"JJX42"
"Arm Upper-Rt","Arm Upper RT",3,"arm",YES,"JMP46"
"awning","Awning",3,"awning",YES,"JLT63"
"Back Case","Back Case",3,"back",NO,"JTP42"
"backpack  w/strap","Backpack W/strap",3,"backpack",YES,"JMG68"
"Back wall cover","Back Wall Cover",3,"cover",YES,"JLJ09"
"back wall w/pillar","Back Wall W/pillar",3,"back",YES,"JFG29"
"Bag-cover","Bag Cover",3,"cover",YES,"JMV17, JMV18"
"Ball-Lt","Ball LT",3,"ball",YES,"JJP05"
"Balloon LT","Balloon LT",3,"balloon",NO,"JPD80"
"Balloon Shaker LT","Balloon Shaker LT",3,"balloon",NO,"JPD81"
"Barbie logo belt","Barbie Logo Belt",3,"barbie",YES,"JKP50"
"Bat Cuffs Bracelet","Bat Cuffs Bracelet",3,"accessory",NO,"JPD80"
"Bat Necklace","Bat Necklace",3,"accessory",NO,"JPD80"
"beetle bronzer","Beetle Bronzer",3,"beetle",YES,"JMG74"
"BEIGNET","Beignet",3,"beignet",YES,"JLH91"
"Bell-handle","Bell Handle",3,"handle",YES,"JMV26"
"BELT#1","Belt#1",3,"belt#1",YES,"JMP45"
"Belt-Buckle","Belt Buckle",3,"belt",YES,"JJY03"
"Bike front-back frame","Bike Front Back Frame",3,"frame",YES,"JJP88"
"block","Block",3,"block",YES,"JRD72"
"Bodice-Chains","Bodice Chains",3,"bodice",YES,"JPT88"
"BOOTS-L","Boots L",3,"boots",YES,"JMP45"
" Boots-R","Boots R",3,"boots",YES,"JBJ45"
"Boots-RT","Boots RT",3,"boots",YES,"JJY10"
"bottle","Bottle",3,"bottle",YES,"JHK33"
"Bow","Bow",3,"bow",NO,"JLT64, JPV22"
"Bow ring","Bow Ring",3,"accessory",YES,"JJT75"
"Box top","Box Top",3,"packaging",YES,"JPJ76"
"Box  under","Box Under",3,"packaging",YES,"JPJ76"
"Boy-hair","Boy Hair",3,"hair",YES,"JMP50"
"bracelet 2#","Bracelet 2#",3,"accessory",YES,"JDR48, JHK30"
"Bra Ft","Bra FT",3,"bra",YES,"JLW56"
"bristle brush","Bristle Brush",3,"bristle",YES,"JHK45"
"bristle brush handle","Bristle Brush Handle",3,"handle",YES,"JHK45"
"broach","Broach",3,"broach",YES,"JLT59, JLT60"
"Brooch","Brooch",3,"brooch",NO,"JPR82"
"Bruni","Bruni",3,"bruni",NO,"JTR73"
"Bucklet-Hat","Bucklet Hat",3,"bucklet",YES,"JBH80"
"Bunny-slipper","Bunny Slipper",3,"footwear",YES,"JGG38"
"BUTTERFLY SCISSORS","Butterfly Scissors",3,"butterfly",YES,"JHK34"
"cactus plant","Cactus Plant",3,"cactus",YES,"JHK45"
"Cage-Bottom","Cage Bottom",3,"cage",YES,"JRJ36"
"Cake","Cake",3,"cake",NO,"JJB41"
"Cake purse","Cake Purse",3,"cake",YES,"JPL08"
"CAKE SLICE","Cake Slice",3,"cake",YES,"JLH90"
"camera","Camera",3,"camera",YES,"JMG71"
"Camp Cup","Camp Cup",3,"camp",NO,"JJV61"
"CANCEL","Cancel",3,"cancel",YES,"JJN51"
"Candied Apple","Candied Apple",3,"candied",NO,"JPD82"
"Candy-Cane","Candy Cane",3,"candy",YES,"JLW52"
"CAR BODY","Car Body",3,"body",YES,"JRV66"
"Cards","Cards",3,"cards",NO,"JMP45"
"Cart coin lock","Cart Coin Lock",3,"cart",YES,"JMP81"
"Cat","Cat",3,"cat",NO,"JRJ36"
"Cat-body","Cat Body",3,"body",YES,"JMP50"
"Cat-body-Lt","Cat Body LT",3,"body",YES,"JGP25"
"Cecropia Leaves-1","Cecropia Leaves 1",3,"cecropia",YES,"JKF79"
"Cell-Phone","Cell Phone",3,"cell",YES,"JFJ80"
"chain heart hoops lt","Chain Heart Hoops LT",3,"chain",YES,"JHK31"
"CHASSIS","Chassis",3,"chassis",YES,"JRV66"
"Cherry Bag chain","Cherry Bag Chain",3,"cherry",YES,"JPL17"
"Chest Accessory","Chest Accessory",3,"accessory",NO,"JPD82"
"chestplate","Chestplate",3,"chestplate",YES,"JBJ36"
"chocolate","Chocolate",3,"chocolate",YES,"JHK32"
"Choker","Choker",3,"choker",NO,"JBJ05, JRY62"
"CHUNKY HEELS-R","Chunky Heels R",3,"chunky",YES,"JJX39"
"CLEANSER TUBE","Cleanser Tube",3,"cleanser",YES,"JPD88, JPD89"
"Coconut tree","Coconut Tree",3,"coconut",YES,"JTP42"
"Compost Fly Salad Jar","Compost Fly Salad Jar",3,"compost",NO,"JTJ05"
"conch shell lt","Conch Shell LT",3,"conch",YES,"JLP19"
"container heart","Container Heart",3,"packaging",YES,"JPJ76"
"corndog","Corndog",3,"corndog",YES,"JHK33"
"Cotton Candy Handle","Cotton Candy Handle",3,"handle",NO,"JPD80"
"Counter","Counter",3,"counter",NO,"JLT63"
"Cowboy hat","Cowboy Hat",3,"cowboy",YES,"JPL13"
"crown","Crown",3,"accessory",YES,"JLT56"
"CROWN","Crown",3,"accessory",YES,"JHG93"
"Customer gem","Customer Gem",3,"customer",YES,"JHL49, JHL50, JHL51"
"Dagger","Dagger",3,"dagger",NO,"JMP53"
"Desk-BODY","Desk Body",3,"body",YES,"JKB64"
"Dog-Necklace","Dog Necklace",3,"accessory",YES,"JJX75"
"dog Panny bag","Dog Panny Bag",3,"dog",YES,"JFP36"
"dog phone","Dog Phone",3,"dog",YES,"JFP39"
"Doll Base Top","Doll Base Top",3,"base",NO,"JJX48"
"Doll-Base-Top","Doll Base Top",3,"base",YES,"JFJ80"
"Doll-Stand-Cover","Doll Stand Cover",3,"base",YES,"JFJ80"
"doll  stand support","Doll Stand Support",3,"base",YES,"JLT59"
"door LT","Door LT",3,"door",YES,"JNK62"
"DRAGON CHOKER","Dragon Choker",3,"dragon",YES,"JPD90"
"Drawer","Drawer",3,"drawer",NO,"JHL60"
"dress form","Dress Form",3,"clothing",YES,"JNK62"
"earring","Earring",3,"accessory",YES,"JJY10"
"Earring-Dangle-Rt","Earring Dangle RT",3,"accessory",YES,"JBH88"
"earring pendant-R","Earring Pendant R",3,"accessory",YES,"HRM35"
"Earring-R","Earring R",3,"accessory",YES,"JJX83"
"EARRINGS","Earring",3,"earrings",YES,"JJX30"
"Earrings LT","Earrings LT",3,"earrings",NO,"JPD80"
"earring studs-R","Earring Studs R",3,"accessory",YES,"HRM35"
"eerie smoothie top","Eerie Smoothie Top",3,"eerie",YES,"JHK32"
"Elbow Connector","Elbow Connector",3,"connector",NO,"GFL38, JPR92"
"eyes lt","Eyes LT",3,"eyes",YES,"JLT59"
"face roller ","Face Roller",3,"face",YES,"JHK43"
"fan","Fan",3,"fan",YES,"JMG69"
"feeder","Feeder",3,"feeder",YES,"JHH07"
"fence hinge lt","Fence Hinge LT",3,"joint",YES,"JFG29"
"fish face","Fish Face",3,"face",YES,"JHK33"
"Floatie bottom","Floatie Bottom",3,"floatie",YES,"JLX39"
"Floatie top","Floatie Top",3,"floatie",YES,"JLX39"
"FLOWER RING","Flower Ring",3,"accessory",YES,"JHG93"
"Foot Rt- outer","Foot RT Outer",3,"foot",YES,"HYM38"
"FOX BODY","Fox Body",3,"body",YES,"JHK34"
"FOX HEAD","Fox Head",3,"head",YES,"JHK34"
"front wall w/pillar","Front Wall W/pillar",3,"front",YES,"JFG29"
"Game","Game",3,"game",NO,"JMV18"
"game console case","Game Console Case",3,"game",YES,"JMG73"
"game console screen","Game Console Screen",3,"game",YES,"JMG73"
"GEL JAR LID","Gel Jar Lid",3,"cover",YES,"JMV21"
"GEL JAR OUTER","Gel Jar Outer",3,"gel",YES,"JMV21"
"Genie-Shovel","Genie Shovel",3,"genie",YES,"JLK36"
"Girl Hand Right","Girl Hand Right",3,"hand",NO,"JMB81"
"Gold-shelf","Gold Shelf",3,"gold",YES,"JHL47"
"Gothel Arm LT","Gothel Arm LT",3,"arm",NO,"JJV56"
"Gothel Torso FT","Gothel Torso FT",3,"body",NO,"JJV56"
"Green-fairy-handle","Green Fairy Handle",3,"handle",YES,"JHL47"
"Hairband","Hairband",3,"hairband",NO,"JJN50, JJN59"
"hair c-clip","Hair C Clip",3,"hair",YES,"JDR48"
"hair clip","Hair Clip",3,"hair",YES,"JPR42, JPR43, JPR44"
"HAIRCLIP-#1","Hairclip #1",3,"hairclip",YES,"JMP48"
"HAIRCLIP-#2","Hairclip #2",3,"hairclip",YES,"JMP48"
"Hair Comb","Hair Comb",3,"hair",NO,"JRY61, JRY62, JRY64"
"hair pins","Hair Pins",3,"hair",YES,"JMV17, JMV18"
"Hair with c-clip","Hair With C Clip",3,"hair",YES,"JHH08"
"HANDBAG","Handbag",3,"handbag",YES,"JJX30"
"Hand Bag Handle","Hand Bag Handle",3,"hand",NO,"JMJ47"
"Hand bag Leash","Hand Bag Leash",3,"hand",YES,"JMJ47"
"Handel","Handel",3,"handel",NO,"JRJ36"
"Hand Lt","Hand LT",3,"hand",YES,"JMP46"
"Headband Mid Ruffle ","Headband Mid Ruffle",3,"headband",YES,"JPD80"
"headdress cap","Headdress Cap",3,"cover",YES,"JLP19"
"Head-dress-horn","Head Dress Horn",3,"head",YES,"JLT53"
"Headpiece-Roses","Headpiece Roses",3,"headpiece",YES,"JBJ12"
"Head rest","Head Rest",3,"head",YES,"JMP77"
"Heart aIrpod-bottom","Heart Airpod Bottom",3,"heart",YES,"JKP51"
"Heart Bag Top","Heart Bag Top",3,"heart",NO,"JPL18"
"Heart-Skull","Heart Skull",3,"heart",YES,"JBJ05"
"Helmet-Outer-Visor","Helmet Outer Visor",3,"helmet",YES,"JBJ28"
"Hisette","Hisette",3,"hisette",NO,"JHK32"
"HKD90-006-Arm-lt","Arm LT",3,"arm",YES,"JJB36"
"Hook","Hook",3,"hook",NO,"JLP17, JRV66"
"hunter Arm Rt Upper Ft","Hunter Arm RT Upper FT",3,"arm",YES,"JMP50"
"hunter Leg Rt Upper Ft","Hunter Leg RT Upper FT",3,"leg",YES,"JMP50"
"hunter lower arm Rt","Hunter Lower Arm RT",3,"arm",YES,"JMP50"
"hunter Torso front","Hunter Torso Front",3,"body",YES,"JMP50"
"hunter wrist conector","Hunter Wrist Conector",3,"wrist",YES,"JMP50"
"icy animal brush","Icy Animal Brush",3,"icy",YES,"JFG29"
"Index-Finger-Rt","Index Finger RT",3,"index",YES,"HYM38"
"inkwell base","Inkwell Base",3,"base",YES,"JMB81"
"jar bottle","Jar Bottle",3,"jar",YES,"JMG73"
"jewel stand","Jewel Stand",3,"base",YES,"JHK44"
"JJB34-001-Bent-arm-lt","Bent Arm LT",3,"arm",YES,"JJB34"
"JJB35-001-Arm-Rt","Arm RT",3,"arm",YES,"JJB35"
"JJN69-001-BAG-LT","Bag LT",3,"jjn69",YES,"JJN69"
"JTV75-010-Bed sheet","Bed Sheet",3,"jtv75",YES,"JTV75"
"Katrina Leg Lower Rt ","Katrina Leg Lower RT",3,"leg",YES,"JHK34"
"Katrina Leg Upper Rt","Katrina Leg Upper RT",3,"leg",YES,"JHK34"
"Ken-Sunglasses","Ken Sunglasses",3,"ken",YES,"JBJ43"
"Ladder","Ladder",3,"ladder",NO,"JTP16"
"LANTERN","Lantern",3,"lantern",YES,"JLH90"
"LARGE CLUTCH","Large Clutch",3,"large",YES,"JJX32"
"Leash","Leash",3,"leash",NO,"JFP36"
"Left railing","Left Railing",3,"left",YES,"JFG29"
"LEFT SIDE MIRROR","Left Side Mirror",3,"left",YES,"JRV66"
" Leg-Lt","Leg LT",3,"leg",YES,"JNB00"
"Leg Lt","Leg LT",3,"leg",YES,"JMG71"
"Leg-Rt.","Leg RT",3,"leg",YES,"JJY14"
"Leg Upper Rt","Leg Upper RT",3,"leg",YES,"JJX29"
"LONG HAIR","Long Hair",3,"hair",YES,"JHH02"
"Long Pants","Long Pants",3,"long",NO,"JPL72"
"Lower-Leg-Lt-Inner","Lower Leg LT Inner",3,"leg",YES,"JLP17"
"Lower leg-Rt","Lower Leg RT",3,"leg",YES,"JJN71"
"Lower-Leg-Rt-Inner","Lower Leg RT Inner",3,"leg",YES,"JLP17"
"lower-Leg-Rt-Outer","Lower Leg RT Outer",3,"leg",YES,"JGP25"
"LUCKY KNOT BELT","Lucky Knot Belt",3,"lucky",YES,"JPD90"
"Luggage","Luggage",3,"luggage",NO,"JMJ46"
"Maibox","Maibox",3,"maibox",NO,"JKB65"
"MAKEUP BRUSH","Makeup Brush",3,"makeup",YES,"JPD89"
"MAKEUP BRUSH ","Makeup Brush",3,"makeup",YES,"JPD88"
"Maleficent Arm LT","Maleficent Arm LT",3,"arm",NO,"JJV55"
"Maleficent Head","Maleficent Head",3,"head",NO,"JJV55"
"MEDICAL BAG LT","Medical Bag LT",3,"medical",YES,"JBJ30"
"Mermaid-Torso-Ft","Mermaid Torso FT",3,"body",YES,"JHL55"
"Microphone","Microphone",3,"microphone",NO,"JBJ37"
"Microphone stand base","Microphone Stand Base",3,"base",YES,"JJY07"
"Microphone Stand - Lower-Fr","Microphone Stand Lower Fr",3,"base",YES,"JJY07"
"Mic Stand","Mic Stand",3,"base",NO,"JJY07"
"Mini Cooler","Mini Cooler",3,"mini",NO,"JRF17"
"Mircophone","Mircophone",3,"mircophone",NO,"JLT65"
"Mirror","Mirror",3,"mirror",NO,"JJV56, JPL15"
"Moana Boat","Moana Boat",3,"moana",NO,"JTP42"
"MOM ARM LT","Mom Arm LT",3,"arm",YES,"JLJ06"
"moon belt","Moon Belt",3,"moon",YES,"JHK30"
"MOON CHARM CHOKER","Moon Charm Choker",3,"moon",YES,"JPD88"
"MOON EARRING","Moon Earring",3,"accessory",YES,"JPD88"
"MOON STARS STUD BELT","Moon Stars Stud Belt",3,"moon",YES,"JPD88"
"Mother Sloth body","Mother Sloth Body",3,"body",YES,"JKF79"
"Mushroom","Mushroom",3,"mushroom",NO,"JMV26"
"nail clipper","Nail Clipper",3,"nail",YES,"JHK46"
"NAUTILUS SHELL EARRINGS RT","Nautilus Shell Earrings RT",3,"nautilus",YES,"JPD89"
"NECKTIE","Necktie",3,"necktie",YES,"JMP47"
"oil bottle","Oil Bottle",3,"oil",YES,"JHK44"
"olaf buckle","Olaf Buckle",3,"olaf",YES,"JJP88"
"olaf nose","Olaf Nose",3,"olaf",YES,"JJP88"
"olaf stick arm lt-rt - olaf hair","Olaf Stick Arm LT RT Olaf Hair",3,"arm",YES,"JJP88"
"Owl","Owl",3,"owl",NO,"JPJ74"
"Pail","Pail",3,"pail",NO,"JHG98"
"Pedal - pedal bar rt-lt","Pedal Pedal Bar RT LT",3,"pedal",YES,"JJP88"
"Pencil","Pencil",3,"pencil",NO,"JMV26"
"perfume ","Perfume",3,"perfume",YES,"JHK45"
"Pet-bed","Pet Bed",3,"pet",YES,"JKN62"
"pet head ft","Pet Head FT",3,"head",YES,"JHK29, JHK30, JHK31"
"Petite-Arm Lower-Lt","Petite Arm Lower LT",3,"arm",YES,"JHL49"
"Petite-Arm Upper-Lt","Petite Arm Upper LT",3,"arm",YES,"JHL49"
"phone","Phone",3,"phone",YES,"JDR48"
"phone case","Phone Case",3,"phone",YES,"JGG36"
"Phone Case","Phone Case",3,"phone",NO,"JMV16, JMV18"
"Phone-Case","Phone Case",3,"phone",YES,"JFJ80"
"Phone-Charm(V&R)","Phone Charm(v&r)",3,"phone",YES,"JFJ80"
"Pickle ball paddle","Pickle Ball Paddle",3,"pickle",YES,"JJN51"
"Pig-body-LT","Pig Body LT",3,"body",YES,"JKN62"
"POINTY TOE FLATS-R","Pointy Toe Flats R",3,"pointy",YES,"JJX38"
"Potion-bottle-Ft","Potion Bottle FT",3,"potion",YES,"JBJ15"
"Potted Bouquet","Potted Bouquet",3,"potted",NO,"JHG98"
"PUKA SHELL BELT","Puka Shell Belt",3,"puka",YES,"JPD89"
"Pumpkin Roof","Pumpkin Roof",3,"pumpkin",NO,"JLH83"
"PURSE","Purse",3,"purse",YES,"JJX39"
"Quiver with arrows","Quiver With Arrows",3,"quiver",YES,"JPV22"
"RACQUET INNER","Racquet Inner",3,"racquet",YES,"JHK39"
"record player cover","Record Player Cover",3,"cover",YES,"JHK46"
"Red-fairy-stand","Red Fairy Stand",3,"base",YES,"JHL47"
"Red hairpin","Red Hairpin",3,"red",YES,"JMP45"
"Rein","Rein",3,"rein",NO,"JLH83"
"RIGHT CHAIR","Right Chair",3,"right",YES,"JHH02"
"Rope","Rope",3,"rope",NO,"JLN17"
"Rt-Hip-ball-Outer","RT Hip Ball Outer",3,"hip",YES,"HYM38"
"Ruffled Balance Ball Heels Lt","Ruffled Balance Ball Heels LT",3,"ruffled",YES,"JPD80"
"Rugby-ball-Lt","Rugby Ball LT",3,"rugby",YES,"JGP21"
"runway FT","Runway FT",3,"runway",YES,"JNK62"
"sail","Sail",3,"sail",YES,"JTP42"
"Sandal","Sandal",3,"footwear",NO,"JGG39"
"saw lt","Saw LT",3,"saw",YES,"JKB66"
"Scepter-top-housing-Rr","Scepter Top Housing RR",3,"scepter",YES,"JHL49"
"Seashell chair","Seashell Chair",3,"seashell",YES,"JTP42"
"second floor wall","Second Floor Wall",3,"second",YES,"JNK62"
"Separated-part-Rt","Separated Part RT",3,"separated",YES,"JJX56"
"SETTING SPRAY","Setting Spray",3,"setting",YES,"JPD89"
"sewing machine","Sewing Machine",3,"sewing",YES,"JNK62"
"SHELL PALETTE","Shell Palette",3,"shell",YES,"JPD89, JPD90"
"Shields","Shields",3,"shields",NO,"JPV19"
"Shoe-bottom-LT","Shoe Bottom LT",3,"footwear",YES,"JJX51"
"shoe-R","Shoe R",3,"footwear",YES,"JJX30"
"Shoe-R","Shoe R",3,"footwear",YES,"JJY06"
"Shoes#1-Rt","Shoes#1 RT",3,"shoes#1",YES,"jjy09"
"Shoes-Bottom-Rt.","Shoes Bottom RT",3,"shoes",YES,"JFJ80"
"Shoes-Bow","Shoes Bow",3,"shoes",YES,"JFJ80"
"SHOES  LT","Shoes LT",3,"shoes",YES,"JRF23"
"Shoes-Sole-Rt","Shoes Sole RT",3,"shoes",YES,"HYM38, JLH31"
"Shoes-Top-Rt.","Shoes Top RT",3,"shoes",YES,"JFJ80"
"Shoe-Top-Lt","Shoe Top LT",3,"footwear",YES,"JJX53, JJX56"
"shopping bag","Shopping Bag",3,"shopping",YES,"JRN02"
"Side door","Side Door",3,"side",YES,"JLT63"
"sign holder","Sign Holder",3,"holder",YES,"JLT63"
"SKULLETTE CASE","Skullette Case",3,"skullette",YES,"JPD88"
"Sled","Sled",3,"sled",NO,"JLN17"
"sled handle upper lt/rt","Sled Handle Upper Lt/rt",3,"handle",YES,"JJP87"
"slide","Slide",3,"slide",YES,"JFG29"
"Slide","Slide",3,"slide",NO,"JTP42"
"small watch","Small Watch",3,"small",YES,"JMG73"
"snack","Snack",3,"snack",YES,"JHK29"
"snake bracelet","Snake Bracelet",3,"accessory",YES,"JHK32"
"Snap-bodice","Snap Bodice",3,"snap",YES,"JLK35"
"snow charms","Snow Charms",3,"snow",YES,"JPK57"
"SNOWY HILL","Snowy Hill",3,"snowy",YES,"JJP93"
"Soda W/straw","Soda W/straw",3,"soda",NO,"JRF17"
"sonw white top","Sonw White Top",3,"sonw",YES,"JRN02"
"Spine conncetor","Spine Conncetor",3,"spine",YES,"JHK34"
"Spinning wheel ","Spinning Wheel",3,"wheel",YES,"JJV55"
"Stair wall","Stair Wall",3,"stair",YES,"JLT63"
"Standard-Arm Lower-Lt","Standard Arm Lower LT",3,"arm",YES,"JHL50"
"Standard-Torso-Ft","Standard Torso FT",3,"body",YES,"JHL50"
"star cover","Star Cover",3,"cover",YES,"JPR42"
"STD-Arm Lower-Lt","Std Arm Lower LT",3,"arm",YES,"JHL51"
"STD-Arm Upper-Lt","Std Arm Upper LT",3,"arm",YES,"JHL51"
"STD-Leg-Right-Heel-Foot","Std Leg Right Heel Foot",3,"leg",YES,"JJY40"
"STD-Torso-Ft","Std Torso FT",3,"body",YES,"JHL51"
"Strap-for-Shoe","Strap For Shoe",3,"footwear",YES,"JJX56"
"Strap-LT","Strap LT",3,"strap",YES,"JRJ36"
"Strap-Shoe-LT","Strap Shoe LT",3,"footwear",YES,"JJX53"
"stressball dustin toy clip","Stressball Dustin Toy Clip",3,"clip",YES,"JMB82"
"Suitcase-body-base","Suitcase Body Base",3,"body",YES,"JMV16"
"sunglasses_frame","Sunglasses Frame",3,"frame",YES,"JJX53"
"sunlglass","Sunlglass",3,"sunlglass",YES,"JTJ05"
"Swing","Swing",3,"swing",NO,"JTP42"
"Table-leg","Table Leg",3,"leg",YES,"JHL47"
"tail fin","Tail Fin",3,"tail",YES,"JRY61, JRY62, JRY64"
"TAIL-RR","Tail RR",3,"tail",YES,"JKH55, JKH56"
"Tassel","Tassel",3,"tassel",NO,"JFJ80"
"teddy bear","Teddy Bear",3,"teddy",YES,"JRD72"
"TENNI-RACKET","Tenni Racket",3,"tenni",YES,"JJX61"
"Terrarium base","Terrarium Base",3,"base",YES,"JTJ05"
"terrarium body","Terrarium Body",3,"body",YES,"JTJ05"
"Thigh-Holster","Thigh Holster",3,"thigh",YES,"JKG65"
"TopHat","Tophat",3,"tophat",YES,"JPD82"
"top roof","Top Roof",3,"top",YES,"JNK62"
"Torso-Armor","Torso Armor",3,"body",YES,"JGP25"
"Torso-Ft.","Torso FT",3,"body",YES,"JJY14"
"TOWER TOP","Tower Top",3,"tower",YES,"JHH02"
"Towline","Towline",3,"towline",NO,"JTP42"
"tray-small","Tray Small",3,"tray",YES,"JHL47"
"Treasure-chest-lid","Treasure Chest Lid",3,"cover",YES,"JLK36"
"Trunk-Top","Trunk Top",3,"trunk",YES,"JTT59"
"tupperear base","Tupperear Base",3,"base",YES,"JMB82"
"turntable","Turntable",3,"turntable",YES,"JNK62"
"TWEEZERS","Tweezers",3,"tweezers",YES,"JPD90"
"Upper-Arm-Rt.","Upper Arm RT",3,"arm",YES,"JGG38"
