Raw Value,Normalized Value,Record Count,Category,Changed,Sample Toys
"Shoes-R","Shoes R",9,"shoes",YES,"HRM35, JBJ15, JBJ24"
"Butterfly-Suitcatse-base","Butterfly Suitcatse Base",9,"base",YES,"JMV17, JMV18, JMV19"
"headphone","Headphone",9,"headphone",YES,"JMG70, JMG73, JMJ47"
"Headband ","Headband",9,"headband",YES,"JLT59, JNB00, JNC38"
"Head","Head",9,"head",NO,"JJP93, JJP94"
"Headphone","Headphone",9,"headphone",NO,"JJN52, JJN58, JPL16"
"HAIR","Hair",9,"hair",YES,"JHH08, JPL74, JRD73"
"LEGWARMERS","Legwarmers",9,"legwarmers",YES,"JHK39, JHK40, JHK41"
"Door LT","Door LT",9,"door",NO,"JLT63, JLT64, JLT65"
"Flower","Flower",9,"flower",NO,"JJN58, JLM94, JLT64"
"Helmet-Ft.","Helmet FT",9,"helmet",YES,"JBJ28, JKF77"
"Hip","Hip",9,"hip",NO,"JJP93, JJP94"
"Body","Body",9,"body",NO,"JJP93, JJP94"
"Side Wall Lt","Side Wall LT",9,"side",YES,"JFG30, JLJ09, JNW72"
"BOOTS-R","Boots R",9,"boots",YES,"JJX39, JMP45, JMP48"
"torso ft","Torso FT",8,"body",YES,"JHK43, JHK44, JHK45"
"Latch","Latch",8,"latch",NO,"JTP41, JTP42"
"choker","Choker",8,"choker",YES,"JMG68, JMG69, JMG70"
"Upper-Arm-Rt","Upper Arm RT",8,"arm",YES,"JJY15, JLP17"
"Cat-head","Cat Head",8,"head",YES,"JKP50, JMP50"
"FLOOR","Floor",8,"floor",YES,"JHH07, JHH08"
"House FT","House FT",8,"house",NO,"JLT63"
"hand-Rt","Hand RT",8,"hand",YES,"JGP25, JLT55, JPV19"
"Dog","Dog",8,"dog",NO,"JJV60, JJV61"
"Rapunzel-Bodice-Ft","Rapunzel Bodice FT",8,"rapunzel",YES,"JLK28, JLK30, JLK36"
"Headpiece","Headpiece",8,"headpiece",NO,"JBJ16, JGL50, JJX62"
"sign","Sign",8,"sign",YES,"JLT63, JLT64, JLT65"
"Basket","Basket",8,"basket",NO,"JJP88, JLK35, JPL74"
"leg lt","Leg LT",8,"leg",YES,"JDR54, JDR56"
