text_id,accessory,source_sheet,shape_name,drawing_text,anchor,metadata_json
TXT-023,HAIR CLIP,Hair clip,TextBox 27,HLX34-U512-01,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-024,HAIR CLIP,Hair clip,TextBox 27,Layout refference,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-025,HAIR CLIP,Hair clip,TextBox 27,Slider,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-026,SHOES,SHOES,TextBox 22,Shoe Type,from R1C13 | to R3C27,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 22"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 201682, ""row"": 0, ""rowOff"": 169379}, ""to"": {""col"": 26, ""colOff"": 552450, ""row"": 2, ""rowOff"": 38099}}}"
TXT-027,SHOES,SHOES,TextBox 1,Shoe,from R3C15 | to R4C16,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 1"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 115957, ""row"": 2, ""rowOff"": 140804}, ""to"": {""col"": 15, ""colOff"": 472108, ""row"": 3, ""rowOff"": 190499}}}"
TXT-028,SHOES,SHOES,TextBox 3,Boots,from R3C20 | to R4C21,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 3"", ""anchor"": {""from"": {""col"": 19, ""colOff"": 95252, ""row"": 2, ""rowOff"": 140804}, ""to"": {""col"": 20, ""colOff"": 451403, ""row"": 3, ""rowOff"": 190499}}}"
TXT-029,SHOES,SHOES,TextBox 5,heels,from R3C25 | to R4C26,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 5"", ""anchor"": {""from"": {""col"": 24, ""colOff"": 74547, ""row"": 2, ""rowOff"": 140804}, ""to"": {""col"": 25, ""colOff"": 430698, ""row"": 3, ""rowOff"": 190499}}}"
TXT-030,SHOES,SHOES,TextBox 7,CORE,from R4C13 | to R12C15,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 7"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 133351, ""row"": 3, ""rowOff"": 304800}, ""to"": {""col"": 14, ""colOff"": 521951, ""row"": 11, ""rowOff"": 0}}}"
TXT-031,SHOES,SHOES,TextBox 8,CAV,from R4C15 | to R12C18,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 8"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 585938, ""row"": 3, ""rowOff"": 276225}, ""to"": {""col"": 17, ""colOff"": 436688, ""row"": 11, ""rowOff"": 0}}}"
TXT-032,SHOES,SHOES,TextBox 7,Sample 0315-A575-02,from R4C19 | to R28C23,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 7"", ""anchor"": {""from"": {""col"": 18, ""colOff"": 19751, ""row"": 3, ""rowOff"": 276225}, ""to"": {""col"": 22, ""colOff"": 80025, ""row"": 27, ""rowOff"": 17084}}}"
TXT-033,SHOES,SHOES,TextBox 20,Sample CLL55-S501-03,from R4C24 | to R16C27,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 20"", ""anchor"": {""from"": {""col"": 23, ""colOff"": 285751, ""row"": 3, ""rowOff"": 304799}, ""to"": {""col"": 26, ""colOff"": 157623, ""row"": 15, ""rowOff"": 56256}}}"
TXT-034,SHOES,SHOES,TextBox 6,Sample CHG41-S501,from R11C13 | to R12C16,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 6"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 114301, ""row"": 10, ""rowOff"": 0}, ""to"": {""col"": 15, ""colOff"": 310414, ""row"": 11, ""rowOff"": 0}}}"
TXT-035,SHOES,SHOES,TextBox 6,Sample CHG41-S501,from R15C13 | to R15C16,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 6"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 114301, ""row"": 14, ""rowOff"": 0}, ""to"": {""col"": 15, ""colOff"": 310414, ""row"": 14, ""rowOff"": 120996}}}"
TXT-036,SHOES,SHOES,TextBox 35,Separate R/L shoe,from R26C1 | extent 162x33px,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 35"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 533400, ""row"": 25, ""rowOff"": 9525}, ""extent"": {""cx"": 1540165, ""cy"": 311496, ""width_px"": 162, ""height_px"": 33}}}"
TXT-037,SHOES,SHOES,TextBox 44,Control rib heght,from R26C5 | to R35C10,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 44"", ""anchor"": {""from"": {""col"": 4, ""colOff"": 571500, ""row"": 25, ""rowOff"": 47625}, ""to"": {""col"": 9, ""colOff"": 119474, ""row"": 34, ""rowOff"": 119}}}"
TXT-038,SHOES,SHOES,TextBox 30,R,from R27C2 | to R35C5,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 30"", ""anchor"": {""from"": {""col"": 1, ""colOff"": 9525, ""row"": 26, ""rowOff"": 104775}, ""to"": {""col"": 4, ""colOff"": 161925, ""row"": 34, ""rowOff"": 66675}}}"
TXT-039,SHOES,SHOES,TextBox 31,R,from R27C2 | to R35C5,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 31"", ""anchor"": {""from"": {""col"": 1, ""colOff"": 9525, ""row"": 26, ""rowOff"": 104775}, ""to"": {""col"": 4, ""colOff"": 161925, ""row"": 34, ""rowOff"": 66675}}}"
TXT-040,SHOES,SHOES,TextBox 32,L,from R27C2 | to R35C5,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 32"", ""anchor"": {""from"": {""col"": 1, ""colOff"": 9525, ""row"": 26, ""rowOff"": 104775}, ""to"": {""col"": 4, ""colOff"": 161925, ""row"": 34, ""rowOff"": 66675}}}"
TXT-041,SHOES,SHOES,TextBox 33,L,from R27C2 | to R35C5,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 33"", ""anchor"": {""from"": {""col"": 1, ""colOff"": 9525, ""row"": 26, ""rowOff"": 104775}, ""to"": {""col"": 4, ""colOff"": 161925, ""row"": 34, ""rowOff"": 66675}}}"
TXT-042,SHOES,SHOES,TextBox 40,Minimize floating core slit height,from R37C1 | extent 277x33px,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 40"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 600635, ""row"": 36, ""rowOff"": 143996}, ""extent"": {""cx"": 2637069, ""cy"": 311496, ""width_px"": 277, ""height_px"": 33}}}"
TXT-043,PET(SEPARATE HEAD),PET(SEPARATE HEAD),TextBox 9,CLF97-S501,from R3C14 | to R12C18,"{""sheet"": ""PET(SEPARATE HEAD)"", ""shape_name"": ""TextBox 9"", ""anchor"": {""from"": {""col"": 13, ""colOff"": 33618, ""row"": 2, ""rowOff"": 151280}, ""to"": {""col"": 17, ""colOff"": 386603, ""row"": 11, ""rowOff"": 29844}}}"
TXT-044,PET(SEPARATE HEAD),PET(SEPARATE HEAD),TextBox 33,CLF97-S501,from R15C14 | to R27C18,"{""sheet"": ""PET(SEPARATE HEAD)"", ""shape_name"": ""TextBox 33"", ""anchor"": {""from"": {""col"": 13, ""colOff"": 33619, ""row"": 14, ""rowOff"": 39781}, ""to"": {""col"": 17, ""colOff"": 405654, ""row"": 26, ""rowOff"": 20731}}}"
TXT-045,PET(SEPARATE HEAD),PET(SEPARATE HEAD),TextBox 115,Ejector & puller ilustration,from R17C1 | extent 178x28px,"{""sheet"": ""PET(SEPARATE HEAD)"", ""shape_name"": ""TextBox 115"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 95250, ""row"": 16, ""rowOff"": 28575}, ""extent"": {""cx"": 1698350, ""cy"": 264560, ""width_px"": 178, ""height_px"": 28}}}"
