text_id,accessory,source_sheet,shape_name,drawing_text,anchor,metadata_json
TXT-061,PET(SEPARATE HEAD),PET(SEPARATE HEAD),TextBox 4,Gap 3mm,from R28C4 | to R34C6,"{""sheet"": ""PET(SEPARATE HEAD)"", ""shape_name"": ""TextBox 4"", ""anchor"": {""from"": {""col"": 3, ""colOff"": 1, ""row"": 27, ""rowOff"": 76200}, ""to"": {""col"": 5, ""colOff"": 999593, ""row"": 33, ""rowOff"": 161925}}}"
TXT-062,SHOULDER CONNECTOR,Shoulder connector,TextBox 110,bump,from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 110"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-063,SHOULDER CONNECTOR,Shoulder connector,TextBox 17,Doom design : no need bump,from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 17"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-064,SHOULDER CONNECTOR,Shoulder connector,TextBox 18,"Dougnut design : 1 bump, 1 side only",from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 18"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-065,SHOULDER CONNECTOR,Shoulder connector,TextBox 19,DLT64,from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 19"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-066,SHOULDER CONNECTOR,Shoulder connector,TextBox 21,HGC32,from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 21"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-067,SHOULDER CONNECTOR,Shoulder connector,TextBox 37,DOUGNUT: N5946,from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 37"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-068,SHOULDER CONNECTOR,Shoulder connector,TextBox 42,Design connector,from R6C1 | to R22C7,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 42"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 55111, ""row"": 5, ""rowOff"": 90343}, ""to"": {""col"": 6, ""colOff"": 443331, ""row"": 21, ""rowOff"": 18508}}}"
TXT-069,SHOULDER CONNECTOR,Shoulder connector,TextBox 25,Runner type,from R6C7 | to R26C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 25"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 567104, ""row"": 5, ""rowOff"": 132202}, ""to"": {""col"": 9, ""colOff"": 92701, ""row"": 25, ""rowOff"": 44782}}}"
TXT-070,SHOULDER CONNECTOR,Shoulder connector,TextBox 27,H SHAPE,from R6C7 | to R26C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 567104, ""row"": 5, ""rowOff"": 132202}, ""to"": {""col"": 9, ""colOff"": 92701, ""row"": 25, ""rowOff"": 44782}}}"
TXT-071,SHOULDER CONNECTOR,Shoulder connector,TextBox 28,I SHAPE : HGC32,from R6C7 | to R26C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 28"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 567104, ""row"": 5, ""rowOff"": 132202}, ""to"": {""col"": 9, ""colOff"": 92701, ""row"": 25, ""rowOff"": 44782}}}"
TXT-072,SHOULDER CONNECTOR,Shoulder connector,TextBox 32,I SHAPE : N5946,from R6C7 | to R26C10,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 32"", ""anchor"": {""from"": {""col"": 6, ""colOff"": 567104, ""row"": 5, ""rowOff"": 132202}, ""to"": {""col"": 9, ""colOff"": 92701, ""row"": 25, ""rowOff"": 44782}}}"
TXT-073,SHOULDER CONNECTOR,Shoulder connector,TextBox 52,Runner design,from R23C3 | to R25C5,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 52"", ""anchor"": {""from"": {""col"": 2, ""colOff"": 363304, ""row"": 22, ""rowOff"": 171567}, ""to"": {""col"": 4, ""colOff"": 80450, ""row"": 24, ""rowOff"": 3099}}}"
TXT-074,SHOULDER CONNECTOR,Shoulder connector,TextBox 69,I shape,from R26C1 | to R27C3,"{""sheet"": ""Shoulder connector"", ""shape_name"": ""TextBox 69"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 375426, ""row"": 25, ""rowOff"": 53748}, ""to"": {""col"": 2, ""colOff"": 92572, ""row"": 26, ""rowOff"": 75780}}}"
